model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,recall_Not_Eligible,recall_Eligible,recall_High_Risk
xgboost,0.9729418158462476,0.8681325726651888,0.9705339711864487,0.9165614844904026,0.838290927219531,0.9956958087404914,0.9789558520641175,0.540221120853984
random_forest,0.9447472867706395,0.654964895273832,0.9260609528716317,0.8952074633534702,0.6575811464659801,0.9960580426583708,0.9431360257902749,0.0335493709492947
logreg,0.7944368505130021,0.6414136387724855,0.8435940002230277,0.6551670571878873,0.7466489145507985,0.8098911167458609,0.7583057222172472,0.6717499046892871
